KZ57817DZXUEGJAWDPRF,yearly,0.6
KZ64703VA9TXWV1O4CUM,quarter,3.6
LB64197862DLT0DLQ7H8HKJHW7CI,monthly,1.1
LB941675UDL4DF8O5J2L71XJLEFK,yearly,2.9
LI7115490UEKKHC5HEOMC,yearly,5.3
LT515349342197999350,yearly,3.4
LV55XFBII6FKFXSK3PXAU,yearly,3.1
MD127KRR5IDXVHDKKSBDCYLZ,quarter,2.7
ME06010270545643065544,yearly,3.5
ME29934419048456282390,quarter,1.0
ME65998433026079128554,half year,0.3
ME97661623675960265882,half year,1.5
MK885706QX8UYFKTF20,monthly,0.2
MR2233184551320834197541398,quarter,2.3
MR2368945812321419374551561,half year,4.7
MT69HUPA88465GU9WRY2OMXLZEBAK28,monthly,2.1
MT81YCZR60394SJQRWKMUNVEAIDXKPA,half year,5.3
MT96UJMO84351ISUKDQAC1BVUSET7YZ,half year,4.0
MU31UEWC1168158191908027236MKS,half year,5.1
MU31ZXVS5616427840984886555RWZ,monthly,3.1
NL57TYWJ4684226641,quarter,0.6
NO2855437598422,half year,0.3
NO7274412447600,monthly,4.8
PK16JVLT9WUDT2GTNRJXDCWX,quarter,1.5
PK96UAFUYAA6NVVXOQDYXM6R,monthly,5.2
PL89877171017396818184443026,monthly,5.0
PS81ZQCHDLD7M5SDZUWZNKSYSTCMO,monthly,3.0
PT29499781625205195427425,yearly,3.1
PT96360701922156082244556,quarter,2.0
RO18EUJTUIXL9GMIVTAD47EI,quarter,0.8
RO30KCWCK6YFATZUPK1JDJSU,yearly,3.0
RO38TDIXDHGRSSBIIEBSAHNZ,yearly,2.2
RS23635468475653514503,half year,4.8
RS27535419511289380411,half year,2.9
SA3362YUBLXWH0QPSXXHHUFK,quarter,3.4
SA4941E7VC2BUJG8DVLMIUB9,monthly,2.7
SA6793YOGHIU7ALTAZLFWAKU,yearly,1.9
SA95663L8AYYQFUGNYDUDYGY,quarter,0.2
SE2575710596688421800564,monthly,0.7
SE4479248889724865310316,quarter,3.7
SI14376102936075049,yearly,3.1
SI14540525320707650,yearly,1.3
SI90561448213410524,monthly,0.3
SI97275105530910376,quarter,3.5
SK9128096539431151563108,quarter,1.4
SM21J8226711495E7QWVSFSIA8R,yearly,2.4
SM79Q3694121719TOU8ASQA0WSB,half year,3.9
TN2192558651311039733353,yearly,3.9
TN9828137049969786960962,yearly,0.4
TR0242141JKJFDPUYFQ4BG1CHR,yearly,2.9
VG31PSVD3306916511040551,quarter,0.5
VG35WZDA4882933705963825,quarter,4.3
