StandingOrderID,Sender,Receiver,Amount,Title,Frequency,StartDate,EndDate
23,SI97275105530910376,IL864925811367077730271,295,Legal services,5,30-03-2022,16-09-2022
24,ES3876567973341776820457,SA95663L8AYYQFUGNYDUDYGY,150,Consulting services,5,24-07-2022,21-12-2022
25,ES3876567973341776820457,FR980228933378SS3VLX9UACU28,252,Travel services,3,22-09-2022,29-12-2022
26,ES3876567973341776820457,BH72VEUO4WGT154P1GOGKD,129,Consulting services,2,06-10-2022,27-12-2022
27,PT29499781625205195427425,MR2368945812321419374551561,118,Marketing services,5,14-08-2021,07-02-2022
28,AE953455736311284747558,LU51482S5LB0GJSVOYPP,440,Security services,6,06-06-2022,28-12-2022
29,AE953455736311284747558,SK4311453993730578618418,97,Travel services,7,25-05-2022,23-12-2022
30,AE953455736311284747558,CH6793171T2FIYUY16UEY,466,Event planning services,3,25-01-2022,03-05-2022
31,AE953455736311284747558,IS928892874631938551679674,350,Insurance services,2,31-08-2022,05-11-2022
32,FR1502944963172WZYK2TOUP756,KW60GHNXNSHUOVNJSBVP2SQ00JCM0P,336,Construction services,1,13-04-2022,30-05-2022
33,FR1502944963172WZYK2TOUP756,SI90561448213410524,44,Consulting services,2,05-11-2021,19-01-2022
34,FR1502944963172WZYK2TOUP756,KW82KSFYM4YY93ESZGLAMCNATMMBIG,179,Event planning services,2,19-08-2022,15-11-2022
35,FR219161520100MAECISS28QI76,BH67DBGDTWOO98T1IIB1GE,498,Finance services,5,22-05-2022,28-10-2022
36,FR980228933378SS3VLX9UACU28,IL757842282767511621870,455,Security services,2,11-04-2021,02-07-2021
37,FR815550418281TQ84CJY8Q0X83,FR3481428835649QEVERDZJYP38,225,Marketing services,3,02-09-2022,05-12-2022
38,FR815550418281TQ84CJY8Q0X83,HU15831059445261419254720391,342,Security services,1,29-10-2022,14-12-2022
39,FR815550418281TQ84CJY8Q0X83,FR980951897243NIURNICRP1L79,254,Legal services,2,28-02-2022,27-05-2022
40,GL5255650205989485,FR980951897243NIURNICRP1L79,345,Software services,14,12-10-2021,22-12-2022
41,GL5255650205989485,AT419337944819836915,271,Consulting services,5,14-07-2022,09-01-2023
42,KW85AYMHPBVBCVXTBEXRORUCADITVV,RS27535419511289380411,235,Training services,5,31-05-2022,13-11-2022
43,LV27TOASEFYALHPH5RNMJ,LI7115490UEKKHC5HEOMC,348,Finance services,2,14-09-2021,27-11-2021
44,LV27TOASEFYALHPH5RNMJ,FR9782327987451AYUC37U0EF51,218,Delivery services,4,01-11-2021,13-03-2022
45,AL8021214616W9VCCKPNSEDHIGBK,RO18EUJTUIXL9GMIVTAD47EI,402,Security services,3,01-01-2022,11-04-2022
46,IL757842282767511621870,IE51AAOQ21828404077999,68,Finance services,2,03-05-2021,09-07-2021
47,IL757842282767511621870,FR637609456526U9RDEVHO5CB69,86,Legal services,3,14-05-2021,07-09-2021
48,IL757842282767511621870,CZ7501037659587135778487,143,Consulting services,1,24-04-2021,15-06-2021
49,IL757842282767511621870,PK16OVGG5TABA3XNX7GFS7OG,163,Legal services,3,07-04-2021,18-07-2021
50,CR5710841972545014452,AE791992291992682614433,115,Event planning services,2,04-01-2022,23-03-2022
51,KZ10710KAXRKBV4ETOSD,NL76JNXX1868440926,106,Travel services,2,17-03-2022,03-06-2022
52,KZ10710KAXRKBV4ETOSD,LI9802427CPUSD02PMERA,121,Insurance services,1,31-08-2022,22-10-2022
53,FR023968166162QFMI9LTRFYP13,FR067220098632VIHYMPBGS8E97,417,Legal services,5,05-09-2021,04-02-2022
54,ME70575675621862483580,GL4455269002179975,168,Marketing services,6,22-09-2021,08-04-2022
55,ME70575675621862483580,DK5795947186416720,44,Travel services,5,29-01-2022,28-06-2022
56,FR866323816569TBEYXL0UTTS96,FR554239335295BIZEUWV3CFF55,453,Health and wellness services,4,20-06-2022,05-11-2022
57,FR866323816569TBEYXL0UTTS96,NO5707298372619,223,Construction services,1,20-10-2022,16-12-2022
58,FR866323816569TBEYXL0UTTS96,GT83QMU2BFPVMOYQBSZ9SLMMIWW3,143,Construction services,3,27-09-2022,12-01-2023
59,BG38CTRP707888CHJO8ZXK,SA6793YOGHIU7ALTAZLFWAKU,428,Waste management services,4,27-03-2022,08-08-2022
60,BG38CTRP707888CHJO8ZXK,HU58313167784880213722880914,490,Insurance services,2,27-08-2022,21-11-2022
61,BG38CTRP707888CHJO8ZXK,HR2684646346109894181,482,Software services,2,13-07-2022,17-09-2022
62,SI14540525320707650,HU58313167784880213722880914,14,Security services,2,20-02-2022,01-05-2022
63,SI14540525320707650,GB40XYTB95618940277915,401,Marketing services,5,11-06-2022,21-11-2022
64,SI14540525320707650,MT81YCZR60394SJQRWKMUNVEAIDXKPA,352,Waste management services,2,29-09-2021,16-12-2021
65,PK06PYDX9IKDYX2W6BCBMLX1,DE42771744757544870860,463,Finance services,7,12-05-2022,08-12-2022
66,PK06PYDX9IKDYX2W6BCBMLX1,FR1177144071868EIO0XBPAQH30,497,Travel services,13,09-12-2021,14-01-2023
67,MC252479540832T14TYUTCAJX17,KZ64703VA9TXWV1O4CUM,396,Training services,7,20-02-2022,21-09-2022
68,MC252479540832T14TYUTCAJX17,LI94577706TCILDNRABOC,240,Legal services,3,27-08-2022,13-12-2022
69,MC252479540832T14TYUTCAJX17,AD9785172221O1G3LAZ3EHAY,15,Waste management services,2,21-05-2022,15-08-2022
70,IS928892874631938551679674,FR912313790044NAWFTQTOP3742,277,Health and wellness services,2,27-05-2022,15-08-2022
71,IS928892874631938551679674,SA6793YOGHIU7ALTAZLFWAKU,447,Legal services,6,23-01-2022,03-08-2022
72,PL43281800397501597971052578,PT29499781625205195427425,101,Finance services,3,23-10-2021,30-01-2022
73,PL43281800397501597971052578,HU15831059445261419254720391,371,Software services,1,10-11-2021,11-12-2021
74,FR794576365824OBDHH9XQU3Z48,FR8531903426929BVM9A1DXCW93,317,Security services,2,11-09-2022,25-11-2022
75,MD02BZL3BAJBVBOSVTVUCZLH,FO0906938323937245,451,Waste management services,7,04-04-2022,17-11-2022
76,DE42771744757544870860,HR2684646346109894181,410,Travel services,19,27-05-2021,07-01-2023
77,DE42771744757544870860,DE02655198100986171775,213,Health and wellness services,5,13-05-2022,03-11-2022
78,DE42771744757544870860,PK06PYDX9IKDYX2W6BCBMLX1,200,Insurance services,12,08-11-2021,07-11-2022
79,FR8885856433902PFBER7MY9W00,BH89XBHG5UNJQVF7DMBYNQ,265,Legal services,5,21-03-2021,05-09-2021
80,FR8885856433902PFBER7MY9W00,FR746574562519JBFAYYCZ5KX70,361,Training services,9,29-01-2022,21-11-2022
81,FR8885856433902PFBER7MY9W00,BA038977631439091374,82,Legal services,5,13-02-2022,25-07-2022
82,FR8885856433902PFBER7MY9W00,LI6447144YSY4Z7BZZZRK,427,Event planning services,1,16-08-2022,18-09-2022
83,PL48063123299606189735634665,AZ64HEGTJCSUZBLP4MODQD5TXA2Y,304,Event planning services,1,04-06-2022,06-07-2022
84,LI94577706TCILDNRABOC,GT83QMU2BFPVMOYQBSZ9SLMMIWW3,308,Health and wellness services,5,24-03-2022,31-08-2022
85,LI94577706TCILDNRABOC,LB020531YBRENLULG71HLYYHAJFW,120,Consulting services,9,22-10-2021,14-08-2022
86,LI94577706TCILDNRABOC,SA7921PAVZLGBPQUVNDYCZNY,122,Insurance services,5,13-05-2022,20-10-2022
87,ES7295078258162113141744,CH0777012CHPF0RNYLH5D,291,Security services,1,18-10-2021,13-12-2021
88,ES7295078258162113141744,IL786557961952878739199,219,Legal services,1,07-10-2021,14-11-2021
89,MD730CGGIQL7X7HD8J48NWXZ,DE02655198100986171775,301,Security services,2,19-06-2022,02-09-2022
90,MD730CGGIQL7X7HD8J48NWXZ,DE02655198100986171775,330,Finance services,2,07-06-2022,24-08-2022
91,MD730CGGIQL7X7HD8J48NWXZ,LT686535476410631841,245,Event planning services,4,12-05-2022,18-09-2022
92,MD730CGGIQL7X7HD8J48NWXZ,MU38SPRZ6561085529865602003KQY,369,Construction services,4,01-05-2022,06-09-2022
93,BG13JEIC509423NAXUKOLW,SK8004144805657907594151,219,Waste management services,4,11-08-2022,29-12-2022
94,BG13JEIC509423NAXUKOLW,AE791992291992682614433,198,Delivery services,3,17-09-2022,21-12-2022
95,BG13JEIC509423NAXUKOLW,FR1177144071868EIO0XBPAQH30,185,Insurance services,10,17-02-2022,12-01-2023
96,NO8650701288944,FR273037025062NQTUZGL8HIC68,98,Travel services,8,11-04-2022,28-12-2022
97,ME06010270545643065544,PK96UAFUYAA6NVVXOQDYXM6R,24,Delivery services,5,23-02-2022,11-08-2022
98,MK885706QX8UYFKTF20,FI5111950414945047,237,Health and wellness services,2,01-06-2022,19-08-2022
99,MK885706QX8UYFKTF20,CH0777012CHPF0RNYLH5D,260,Insurance services,1,04-07-2022,25-08-2022
100,MK885706QX8UYFKTF20,PK06PYDX9IKDYX2W6BCBMLX1,120,Software services,2,27-05-2022,30-07-2022
101,NO2855437598422,MK238558E9MGV3EF749,440,Waste management services,12,02-11-2021,10-11-2022
102,NO2855437598422,MC252479540832T14TYUTCAJX17,180,Consulting services,1,10-12-2021,18-01-2022
103,LI2033561S5WMFJ5ZBQZX,ES4028147503081363996112,361,Consulting services,1,20-06-2022,06-08-2022
104,LI2033561S5WMFJ5ZBQZX,FR794576365824OBDHH9XQU3Z48,285,Finance services,6,25-01-2022,20-08-2022
105,LI2033561S5WMFJ5ZBQZX,IL864925811367077730271,416,Event planning services,2,05-10-2022,08-12-2022
106,FR6770020963208J1UCIEIWYZ93,FR880802642577SKWA7FFSOSY93,196,Waste management services,5,04-04-2022,03-09-2022
107,FR6770020963208J1UCIEIWYZ93,AD9785172221O1G3LAZ3EHAY,396,Waste management services,2,23-05-2022,09-08-2022
108,FR664530848066PZS7RTSBPDX82,LV85LQVR5CYMZNTJEAENO,153,Construction services,2,23-10-2021,19-01-2022
109,FR664530848066PZS7RTSBPDX82,FR6770020963208J1UCIEIWYZ93,33,Waste management services,3,24-10-2021,24-01-2022
110,FR664530848066PZS7RTSBPDX82,IL240866025059159431398,11,Software services,1,10-01-2022,21-02-2022
111,RO38TDIXDHGRSSBIIEBSAHNZ,BA930876333848218316,436,Marketing services,10,21-11-2021,11-10-2022
112,RO38TDIXDHGRSSBIIEBSAHNZ,BR1205660151330024495652954UY,135,Consulting services,5,02-04-2022,25-09-2022
113,FR666537258783X8OMC04VFTC42,DE24606440803858670949,157,Construction services,6,03-04-2022,02-10-2022
114,FR666537258783X8OMC04VFTC42,FR823591936920GRRQXKU19RZ41,99,Travel services,7,12-12-2021,25-07-2022
115,FR666537258783X8OMC04VFTC42,AT406845176291948939,170,Waste management services,1,27-03-2022,14-05-2022
116,KW60GHNXNSHUOVNJSBVP2SQ00JCM0P,MU79EOTT8963977338902634213BSU,336,Delivery services,1,07-05-2022,02-07-2022
117,KW60GHNXNSHUOVNJSBVP2SQ00JCM0P,FR718643467428HIJYLT8CYGQ82,10,Health and wellness services,2,01-02-2022,17-04-2022
118,KW60GHNXNSHUOVNJSBVP2SQ00JCM0P,CH584827884PGVRUBCRFO,343,Health and wellness services,2,18-12-2021,09-03-2022
119,HR2750206937399363641,MK76101XO6RF8MT6N44,410,Software services,7,28-01-2022,10-09-2022
120,LI6447144YSY4Z7BZZZRK,FR5013365821287GQMMDD6OLU83,304,Event planning services,8,09-05-2022,12-01-2023
121,LI6447144YSY4Z7BZZZRK,AZ66GLLCMWGFFSKTDRD2WLKPHLEU,94,Security services,4,23-06-2022,31-10-2022
122,FR9782327987451AYUC37U0EF51,FR236631003080GIYTWDCWVFH78,461,Finance services,8,04-04-2022,17-12-2022
123,FR9782327987451AYUC37U0EF51,BG38CTRP707888CHJO8ZXK,158,Construction services,5,20-04-2022,20-09-2022
124,LU51482S5LB0GJSVOYPP,CR5710841972545014452,141,Software services,2,25-01-2022,05-04-2022
125,LU51482S5LB0GJSVOYPP,FI2219198455116224,296,Delivery services,8,30-01-2022,16-10-2022
126,SI74825760997584571,FR3481428835649QEVERDZJYP38,72,Delivery services,10,24-02-2021,16-01-2022
127,SI74825760997584571,KZ57817DZXUEGJAWDPRF,73,Construction services,1,23-10-2021,03-12-2021
128,MC574513984017FXNQQKOYBLQ33,PK16JVLT9WUDT2GTNRJXDCWX,236,Construction services,3,04-11-2021,15-02-2022
129,MC574513984017FXNQQKOYBLQ33,AE595235723883635853522,431,Legal services,3,27-07-2022,29-10-2022
130,MC574513984017FXNQQKOYBLQ33,RO13UPSSRHMVA84JH0TPPTVX,262,Security services,12,21-10-2021,13-11-2022
131,BA038977631439091374,TN5478612701002964205356,202,Marketing services,3,21-07-2022,20-10-2022
132,BA038977631439091374,MU31UEWC1168158191908027236MKS,21,Legal services,3,26-11-2021,12-03-2022
133,PL11799872834331665811266572,FR390919493726CUBB0X2AUQD94,366,Delivery services,1,26-12-2021,28-01-2022
134,PL11799872834331665811266572,CY95098509140KUMVLON9VLJIQD8,67,Consulting services,3,21-12-2021,30-03-2022
135,SI16655849116473450,IL954780099934615738624,40,Health and wellness services,3,19-03-2022,10-07-2022
136,FR415369337789HNEDLEYCLTX34,HU68784313704422979806045343,436,Delivery services,1,02-10-2022,24-11-2022
137,FR415369337789HNEDLEYCLTX34,SK9128096539431151563108,336,Travel services,3,13-08-2021,24-11-2021
138,FR415369337789HNEDLEYCLTX34,LU67780AHKNQAGUVIQCQ,364,Travel services,6,09-04-2022,21-10-2022
139,FR262813619748PNCVTCELAXG12,AT419337944819836915,120,Finance services,3,11-03-2022,22-06-2022
140,PT32784241761371374262171,FR9236728895752YBZZQ60JCF08,145,Training services,1,09-05-2022,04-07-2022
141,PT32784241761371374262171,CH40257354COC2G42ATEJ,380,Legal services,12,18-11-2021,23-11-2022
142,PT32784241761371374262171,RO30KCWCK6YFATZUPK1JDJSU,354,Software services,11,04-11-2021,26-10-2022
143,ME97661623675960265882,SA3042VLBFLEND4YGUQOFAGX,17,Consulting services,6,15-05-2022,26-11-2022
144,ME97661623675960265882,SI14540525320707650,467,Software services,1,25-04-2022,27-05-2022
145,ME97661623675960265882,GB76IQCB97160799774998,183,Delivery services,5,18-10-2021,05-04-2022
146,FR555370117262M8MHCS4TW0778,SI74825760997584571,301,Software services,15,02-06-2021,04-09-2022
147,FR555370117262M8MHCS4TW0778,GB40XYTB95618940277915,30,Event planning services,2,24-12-2021,21-03-2022
148,FR555370117262M8MHCS4TW0778,AT406845176291948939,26,Consulting services,5,12-01-2022,23-06-2022
149,KW82KSFYM4YY93ESZGLAMCNATMMBIG,CR5710841972545014452,431,Travel services,4,30-05-2022,27-09-2022
150,KW82KSFYM4YY93ESZGLAMCNATMMBIG,LI2033561S5WMFJ5ZBQZX,267,Training services,10,23-10-2021,21-08-2022
151,KW82KSFYM4YY93ESZGLAMCNATMMBIG,ES3876567973341776820457,385,Finance services,1,29-10-2022,06-12-2022
152,PL89877171017396818184443026,PS04VYBCQPFJWHXPFFNWDRHMH7Z9E,55,Legal services,2,03-03-2022,16-05-2022
153,GR560395974CG6TT9ZR8OFADHFE,RS34859514741464869106,116,Security services,3,27-06-2022,10-10-2022
154,FR695430719047MSWFWEIHCAO18,SK9128096539431151563108,402,Waste management services,5,05-07-2022,20-12-2022
155,FR695430719047MSWFWEIHCAO18,IL240866025059159431398,24,Travel services,5,17-05-2022,24-10-2022
156,GL4455269002179975,ES1439225274313147027314,330,Software services,7,07-02-2022,26-09-2022
157,GL4455269002179975,SE4479248889724865310316,337,Consulting services,4,15-04-2022,02-09-2022
158,SM04O2872816220NX2CRTU1F91Z,PT79958979704247087374884,91,Event planning services,1,12-03-2022,09-05-2022
159,SM04O2872816220NX2CRTU1F91Z,FR936121328389LQQGOASLWT796,289,Construction services,3,23-04-2022,07-08-2022
160,SM04O2872816220NX2CRTU1F91Z,MK41477DOYFWAI1W659,169,Event planning services,1,23-05-2022,23-06-2022
161,SM04O2872816220NX2CRTU1F91Z,NO8650701288944,481,Software services,2,26-04-2022,04-07-2022
162,FR2505908882660FTQILUB4R861,AL0632649694SYHHMSPXSYAET4R2,271,Finance services,2,05-05-2022,13-07-2022
163,FR2505908882660FTQILUB4R861,SM83P90892886318JNTNUYDHWF0,33,Delivery services,1,23-09-2021,04-11-2021
164,CY8714298070SW8FV1GLHBWSTKYO,AZ82SJGCNRR6QR1HB8PBWOX5UT7D,346,Security services,9,21-02-2022,02-12-2022
165,FR433271943275Q7IKGEEUQOE62,LB941675UDL4DF8O5J2L71XJLEFK,172,Waste management services,4,17-08-2022,29-12-2022
166,FR433271943275Q7IKGEEUQOE62,AT406845176291948939,453,Security services,2,20-03-2022,27-05-2022
167,FR433271943275Q7IKGEEUQOE62,AE208442104089089423018,488,Marketing services,9,04-02-2022,17-11-2022
168,KZ57817DZXUEGJAWDPRF,DO692LOA24615275459286419733,175,Marketing services,1,08-11-2021,10-12-2021
169,NL78SXNX5876067470,ES4028147503081363996112,99,Legal services,3,08-06-2022,10-09-2022
170,NL78SXNX5876067470,DE87413056918276489411,269,Travel services,1,30-05-2022,08-07-2022
171,NL78SXNX5876067470,FR1502944963172WZYK2TOUP756,288,Health and wellness services,7,21-05-2022,30-12-2022
172,PT76725017952203419820774,IT95C5136669136DOMHUVNPWXL1,435,Training services,5,21-03-2022,06-09-2022
173,PT76725017952203419820774,BG10EWTB1413962P6E6CZJ,409,Construction services,1,02-12-2022,03-01-2023
174,MK88922HU8SSC0WM810,IL954780099934615738624,218,Marketing services,14,10-10-2021,28-12-2022
175,MK88922HU8SSC0WM810,DE26201314004591017445,405,Finance services,9,27-03-2022,29-12-2022
176,MK88922HU8SSC0WM810,SI16655849116473450,128,Finance services,1,23-08-2022,26-09-2022
177,MK88922HU8SSC0WM810,CR3363379287437459602,100,Finance services,2,08-01-2022,19-03-2022
178,CH1618474PWEBI8QAGREI,CY9215826814N5WF0EAUVLRJNYEP,366,Health and wellness services,1,31-12-2021,12-02-2022
179,CH1618474PWEBI8QAGREI,NL76JNXX1868440926,255,Security services,6,16-11-2021,24-05-2022
180,CH1618474PWEBI8QAGREI,TN5478612701002964205356,476,Waste management services,1,25-01-2022,24-03-2022
181,HU87667080640745192379770387,CH40257354COC2G42ATEJ,123,Event planning services,3,18-06-2021,12-10-2021
182,FR1549583566069TR1N2XWOYX34,LU51482S5LB0GJSVOYPP,231,Waste management services,1,14-08-2022,04-10-2022
183,FR1549583566069TR1N2XWOYX34,MK76101XO6RF8MT6N44,219,Security services,3,03-09-2022,16-12-2022
184,FR1549583566069TR1N2XWOYX34,BG13JEIC509423NAXUKOLW,35,Finance services,4,28-07-2022,04-12-2022
185,FR1549583566069TR1N2XWOYX34,BH58MVVMELSVPCFDSZUQT8,126,Event planning services,1,26-11-2022,30-12-2022
186,FR3481428835649QEVERDZJYP38,FR262813619748PNCVTCELAXG12,169,Travel services,5,15-01-2022,17-06-2022
187,DK6058517087729622,LI9457531A6YJLWIJKNSQ,463,Software services,4,05-07-2021,29-11-2021
188,DK6058517087729622,AZ82SJGCNRR6QR1HB8PBWOX5UT7D,365,Event planning services,7,11-04-2022,25-11-2022
189,LI9457531A6YJLWIJKNSQ,RO38TDIXDHGRSSBIIEBSAHNZ,443,Delivery services,8,25-12-2021,15-09-2022
190,LI9457531A6YJLWIJKNSQ,HU87667080640745192379770387,487,Delivery services,1,18-07-2021,13-09-2021
191,NL76JNXX1868440926,FR266343225064PCVUZ6NADSB73,305,Health and wellness services,2,26-01-2022,17-04-2022
192,GI83NEWZEVPW4UU7XMWZ0HZ,SM15Z7626700133IYW0DGUTCR6Q,64,Finance services,5,05-02-2022,17-07-2022
193,MD45BCMPTO0A8JEWCMIMULCR,RO24FUJYCNJEVRWWMVTOBVYT,36,Finance services,3,12-05-2022,31-08-2022
194,MD45BCMPTO0A8JEWCMIMULCR,FR614281571412VPU8P4TMHZR26,463,Security services,1,21-11-2022,28-12-2022
195,MD45BCMPTO0A8JEWCMIMULCR,VG31PSVD3306916511040551,23,Travel services,1,24-09-2022,27-10-2022
196,IE51AAOQ21828404077999,RO30KCWCK6YFATZUPK1JDJSU,124,Health and wellness services,9,13-09-2021,09-07-2022
197,BE14175804407331,FR521761738278VD4WOODAQLA67,18,Software services,6,11-06-2022,25-12-2022
198,BE14175804407331,FR866323816569TBEYXL0UTTS96,336,Insurance services,1,26-06-2022,03-08-2022
199,AL5959600739QLBVKSV5UR8L5MCU,AD9413090105NCMC3VM1EDKD,15,Legal services,2,14-05-2022,03-08-2022
200,TR0759790QLUOZUYZBIF6LUMC0,FR0871364849612TYD80JXEME62,404,Marketing services,9,30-01-2022,23-11-2022
201,TR0759790QLUOZUYZBIF6LUMC0,FR794576365824OBDHH9XQU3Z48,40,Delivery services,11,05-01-2022,08-12-2022
202,TR0759790QLUOZUYZBIF6LUMC0,FR852149528972WKYPXKZBV9783,248,Training services,10,18-01-2022,01-12-2022
203,IE42UTTQ67174907923500,MK238558E9MGV3EF749,64,Training services,2,31-10-2021,09-01-2022
204,IE42UTTQ67174907923500,AD6546708196DCNFM1FYRYWR,178,Travel services,1,02-01-2022,06-02-2022
205,IE42UTTQ67174907923500,FR8885856433902PFBER7MY9W00,77,Finance services,2,15-08-2021,07-11-2021
206,LB112232GXFEIRUSUKN8WRUCRGQM,FR823591936920GRRQXKU19RZ41,15,Legal services,3,17-10-2021,03-02-2022
207,LB112232GXFEIRUSUKN8WRUCRGQM,CZ5240340767680109789049,359,Construction services,4,08-10-2021,09-02-2022
208,LB64197862DLT0DLQ7H8HKJHW7CI,SK8004144805657907594151,118,Finance services,6,02-06-2022,19-12-2022
209,LB64197862DLT0DLQ7H8HKJHW7CI,DE88503433710437310817,345,Delivery services,2,05-07-2022,04-09-2022
210,LB64197862DLT0DLQ7H8HKJHW7CI,IS854519170803540031159058,14,Construction services,6,26-06-2022,05-01-2023
211,BG96DUOA015893RAOVD5AK,LI7115490UEKKHC5HEOMC,304,Marketing services,1,05-07-2022,14-08-2022
212,BG96DUOA015893RAOVD5AK,FR5041164036327DMV1CRBHOK58,130,Software services,1,12-07-2022,31-08-2022
213,BG96DUOA015893RAOVD5AK,SI90561448213410524,270,Travel services,1,04-09-2021,13-10-2021
214,EE386688945979336861,CY12037553938HANCACNARCJXUQ2,429,Delivery services,2,10-06-2022,18-08-2022
215,EE386688945979336861,DE42771744757544870860,316,Security services,3,21-08-2021,29-11-2021
216,EE386688945979336861,FR1177144071868EIO0XBPAQH30,328,Legal services,2,24-10-2022,06-01-2023
217,GT83QMU2BFPVMOYQBSZ9SLMMIWW3,LV55XFBII6FKFXSK3PXAU,217,Insurance services,8,03-04-2022,03-12-2022
218,FR5041164036327DMV1CRBHOK58,PT29499781625205195427425,63,Construction services,5,26-01-2022,08-07-2022
219,FR5041164036327DMV1CRBHOK58,CY8714298070SW8FV1GLHBWSTKYO,331,Finance services,3,30-09-2022,06-01-2023
220,FR5041164036327DMV1CRBHOK58,AD3436784333NJ8STCMDIPRF,481,Security services,3,29-05-2022,10-09-2022
221,FR5041164036327DMV1CRBHOK58,PS04VYBCQPFJWHXPFFNWDRHMH7Z9E,409,Waste management services,3,28-02-2022,20-06-2022
222,FR836087418377IWU8PVEGDVU13,FR794576365824OBDHH9XQU3Z48,156,Legal services,1,06-10-2021,12-11-2021
223,FR836087418377IWU8PVEGDVU13,AE953455736311284747558,190,Finance services,2,25-10-2021,27-12-2021
224,FR836087418377IWU8PVEGDVU13,KW59IMZAU6XRJDDOMKHUQXXXQNGYBX,386,Security services,3,07-10-2021,21-01-2022
225,FR836087418377IWU8PVEGDVU13,GI02OSMLZCVPC3LI6P7EZUF,119,Legal services,3,02-10-2021,24-01-2022
226,BH54PCIVYK9ZY4NPXRS8O3,ES4028147503081363996112,170,Waste management services,2,23-05-2022,25-07-2022
227,BH54PCIVYK9ZY4NPXRS8O3,FR162511973191FEJLUSCLSYA55,143,Finance services,2,05-05-2022,01-08-2022
228,BH54PCIVYK9ZY4NPXRS8O3,CH584827884PGVRUBCRFO,141,Finance services,1,06-06-2022,02-08-2022
229,GR665961948ADBSX9QJRLACNGCS,SM83P90892886318JNTNUYDHWF0,248,Event planning services,6,14-01-2022,06-08-2022
230,GR665961948ADBSX9QJRLACNGCS,BA038977631439091374,75,Construction services,4,13-03-2022,22-07-2022
231,BA930876333848218316,BH68VDGEO3AQYIO5773CF6,23,Marketing services,8,02-03-2022,26-11-2022
232,BA930876333848218316,FR263097337494WTJNN9YCWBB79,140,Finance services,3,30-08-2021,17-12-2021
233,AL0870006466BDDYHJJGOUMQB7A6,AE669617962979556956338,447,Marketing services,2,30-11-2021,08-02-2022
234,FR5013365821287GQMMDD6OLU83,FR067220098632VIHYMPBGS8E97,259,Consulting services,4,08-09-2021,29-01-2022
235,IT95C5136669136DOMHUVNPWXL1,LB941675UDL4DF8O5J2L71XJLEFK,451,Finance services,6,21-05-2022,07-12-2022
236,IT95C5136669136DOMHUVNPWXL1,IT56S7325864523V7YMRWOSUY1J,495,Marketing services,14,07-05-2021,08-07-2022
237,BH67DBGDTWOO98T1IIB1GE,CH6569821IBPATSHZIOIH,323,Event planning services,1,08-09-2022,06-11-2022
238,BH67DBGDTWOO98T1IIB1GE,MR2368945812321419374551561,285,Security services,2,09-08-2022,05-11-2022
