TransferID,Sender,Receiver,Amount,Title,Date,Category,StandingOrder
20,SM79Q3694121719TOU8ASQA0WSB,MC574513984017FXNQQKOYBLQ33,891,Teacher,16-09-2022,18,NULL
21,SM79Q3694121719TOU8ASQA0WSB,MC574513984017FXNQQKOYBLQ33,489,Egypt,12-11-2021,2,NULL
22,FR1502944963172WZYK2TOUP756,KZ08583RLSRYBXSZMLZ4,356,Helicopter,08-07-2022,11,NULL
23,FR1502944963172WZYK2TOUP756,DO65YOCL31275685388452922839,549,Ambulance,12-12-2022,4,NULL
24,FR1502944963172WZYK2TOUP756,LT696654847411372478,1776,Refrigerator,07-10-2022,16,NULL
25,FR1502944963172WZYK2TOUP756,PS04VYBCQPFJWHXPFFNWDRHMH7Z9E,1670,Horse,25-11-2022,16,NULL
26,FR219161520100MAECISS28QI76,MD02BZL3BAJBVBOSVTVUCZLH,932,Horse,10-05-2022,11,NULL
27,FR219161520100MAECISS28QI76,GI83NEWZEVPW4UU7XMWZ0HZ,1690,Pizza,11-05-2022,15,NULL
28,FI2219198455116224,CZ7345444139802983588544,1003,Girl,13-01-2023,15,NULL
29,BH80CEBOTKLJM2BUKX42VF,GI02OSMLZCVPC3LI6P7EZUF,1716,Jordan,23-02-2022,9,NULL
30,FR980228933378SS3VLX9UACU28,BG13JEIC509423NAXUKOLW,463,Library,06-12-2022,16,NULL
31,FR980228933378SS3VLX9UACU28,LI4086518PKMEK1TNNUIG,1831,Shoe,04-08-2022,12,NULL
32,FR980228933378SS3VLX9UACU28,AE791992291992682614433,694,Football,19-11-2021,18,NULL
33,FR980228933378SS3VLX9UACU28,BE55191200578333,977,Disease,12-09-2021,2,NULL
34,FR815550418281TQ84CJY8Q0X83,KZ79698SAMINRDWP0SU3,1384,Rain,05-01-2023,3,NULL
35,FR815550418281TQ84CJY8Q0X83,FR3481428835649QEVERDZJYP38,1856,Helmet,14-12-2022,15,NULL
36,FR815550418281TQ84CJY8Q0X83,PK91LXHIO89K2LVOSOZPAQWO,622,Crowd,31-07-2022,3,NULL
37,SM83P90892886318JNTNUYDHWF0,SM21J8226711495E7QWVSFSIA8R,869,Eggplant,20-12-2022,1,NULL
38,GL5255650205989485,AT081187867286884882,715,Lamp,06-09-2022,9,NULL
39,GL5255650205989485,IL240866025059159431398,1077,Zoo,01-06-2022,15,NULL
40,GL5255650205989485,MD62NVLXRWUOQ1BVDGBQ1HOW,3617,Xylophone,26-08-2022,8,NULL
41,KW85AYMHPBVBCVXTBEXRORUCADITVV,KZ64703VA9TXWV1O4CUM,1352,Teacher,21-05-2022,16,NULL
42,KW85AYMHPBVBCVXTBEXRORUCADITVV,DK5795947186416720,1573,Portugal,08-02-2022,1,NULL
43,KW85AYMHPBVBCVXTBEXRORUCADITVV,CR5710841972545014452,4612,Finland,01-01-2023,12,NULL
44,AL8021214616W9VCCKPNSEDHIGBK,DO39GE7C12482803957849368595,992,Nail,14-08-2022,12,NULL
45,AL8021214616W9VCCKPNSEDHIGBK,BG40TPDR774015VYLUI0BM,1953,Tent,03-11-2021,6,NULL
46,IL757842282767511621870,RO30KCWCK6YFATZUPK1JDJSU,547,Apple,16-08-2021,12,NULL
47,IL757842282767511621870,MR2368945812321419374551561,791,London,09-05-2021,18,NULL
48,IL757842282767511621870,SI74825760997584571,1988,Portugal,05-04-2021,12,NULL
49,CR5710841972545014452,MK41477DOYFWAI1W659,1191,Carpet,08-01-2023,5,NULL
50,CR5710841972545014452,FR1543277896585ZIK0CSQLQV29,766,Evening,04-01-2023,1,NULL
51,CR5710841972545014452,LT686535476410631841,994,Napkin,08-02-2022,10,NULL
52,KZ10710KAXRKBV4ETOSD,FR666537258783X8OMC04VFTC42,306,Afternoon,21-09-2022,12,NULL
53,KZ10710KAXRKBV4ETOSD,AE236837503028130721519,8514,Airport,04-03-2022,9,NULL
54,FR023968166162QFMI9LTRFYP13,BH80CEBOTKLJM2BUKX42VF,1353,Gold,04-03-2022,15,NULL
55,FR023968166162QFMI9LTRFYP13,BR1205660151330024495652954UY,688,Ocean,26-03-2022,17,NULL
56,FR023968166162QFMI9LTRFYP13,FR664530848066PZS7RTSBPDX82,624,Apple,11-09-2021,19,NULL
57,ME70575675621862483580,SA7921PAVZLGBPQUVNDYCZNY,1809,Oyster,13-06-2022,10,NULL
58,ME70575675621862483580,GI02OSMLZCVPC3LI6P7EZUF,2861,Painting,02-03-2022,4,NULL
59,ME70575675621862483580,MK607269Y52K7L4HG42,411,Lighter,06-07-2022,4,NULL
60,ME70575675621862483580,NO7274412447600,727,Afternoon,07-01-2022,17,NULL
61,HU78408361769375686963905817,IL757842282767511621870,897,Xylophone,13-04-2021,3,NULL
62,HU78408361769375686963905817,FR8885856433902PFBER7MY9W00,990,Jordan,11-03-2021,10,NULL
63,HU78408361769375686963905817,RO13UPSSRHMVA84JH0TPPTVX,652,Energy,28-03-2021,19,NULL
64,FR866323816569TBEYXL0UTTS96,PL43281800397501597971052578,497,Egypt,07-04-2022,8,NULL
65,FR866323816569TBEYXL0UTTS96,FR0871364849612TYD80JXEME62,1881,Insurance,18-05-2022,1,NULL
66,BG38CTRP707888CHJO8ZXK,IL706407341573205473112,2687,Pizza,21-11-2022,6,NULL
67,BG38CTRP707888CHJO8ZXK,PL48063123299606189735634665,771,Refrigerator,07-07-2022,17,NULL
68,BG38CTRP707888CHJO8ZXK,MR2233184551320834197541398,565,Lock,15-02-2022,2,NULL
69,PK06PYDX9IKDYX2W6BCBMLX1,LT696654847411372478,492,Egg,07-10-2022,2,NULL
70,PK06PYDX9IKDYX2W6BCBMLX1,DK1296358774419108,863,Quill,08-04-2022,14,NULL
71,MC252479540832T14TYUTCAJX17,CH6569821IBPATSHZIOIH,1215,Insurance,25-07-2022,11,NULL
72,MC252479540832T14TYUTCAJX17,PT96360701922156082244556,485,House,20-12-2021,1,NULL
73,MC252479540832T14TYUTCAJX17,PK52YQMIKKNXKJTPECSBKECZ,1599,Ambulance,20-11-2022,9,NULL
74,IS928892874631938551679674,SI14540525320707650,1739,Girl,05-10-2022,3,NULL
75,IS928892874631938551679674,IL786557961952878739199,1100,Forest,24-07-2022,3,NULL
76,IS928892874631938551679674,SI90561448213410524,940,Umbrella,11-08-2021,15,NULL
77,IS928892874631938551679674,VG35WZDA4882933705963825,821,Ocean,12-02-2022,17,NULL
78,PL43281800397501597971052578,PS04VYBCQPFJWHXPFFNWDRHMH7Z9E,851,Glass,21-03-2022,19,NULL
79,PL43281800397501597971052578,AT671585863609047907,1092,Rocket,16-04-2022,10,NULL
80,AE208442104089089423018,CZ7501037659587135778487,1634,Night,27-11-2021,10,NULL
81,AE208442104089089423018,FR938173448585BAIZQZ14X8G91,2753,Yak,06-12-2022,6,NULL
82,FR794576365824OBDHH9XQU3Z48,LI9802427CPUSD02PMERA,1379,Flower,03-01-2023,10,NULL
83,MD02BZL3BAJBVBOSVTVUCZLH,LU51482S5LB0GJSVOYPP,930,Egg,01-08-2022,18,NULL
84,MD02BZL3BAJBVBOSVTVUCZLH,IL930759747392977098228,625,Cartoon,06-09-2022,9,NULL
85,MD02BZL3BAJBVBOSVTVUCZLH,DE77222806807739559532,722,Planet,30-05-2022,1,NULL
86,MK76101XO6RF8MT6N44,CY9215826814N5WF0EAUVLRJNYEP,1676,Stone,28-04-2022,4,NULL
87,MK76101XO6RF8MT6N44,CY9873342199LFMKFAYXM2EDQHLW,1553,Lighter,17-08-2022,14,NULL
88,FR8885856433902PFBER7MY9W00,MT29TBTL85012OVGSQ22YFNLREHDKPT,256,Garden,26-05-2022,3,NULL
89,FR8885856433902PFBER7MY9W00,FR554239335295BIZEUWV3CFF55,499,Needle,29-04-2022,12,NULL
90,FR8885856433902PFBER7MY9W00,RO30KCWCK6YFATZUPK1JDJSU,976,Dinner,25-09-2022,2,NULL
91,LI94577706TCILDNRABOC,ES6345491053851602647405,1312,Pencil,07-12-2021,6,NULL
92,LI94577706TCILDNRABOC,ME30014423925934878853,790,Engine,03-07-2021,2,NULL
93,ES7295078258162113141744,PL66688800934580256377748627,1438,Kangaroo,05-12-2021,11,NULL
94,ES7295078258162113141744,LU67780AHKNQAGUVIQCQ,1733,School,16-12-2021,16,NULL
95,MD730CGGIQL7X7HD8J48NWXZ,FR866323816569TBEYXL0UTTS96,327,Hospital,29-07-2022,4,NULL
96,MD730CGGIQL7X7HD8J48NWXZ,DO09YBQL07479057498667250098,539,Room,12-11-2021,17,NULL
97,MD730CGGIQL7X7HD8J48NWXZ,MK34727GCD89ZBFDW30,337,Breakfast,03-09-2022,14,NULL
98,BG13JEIC509423NAXUKOLW,TN2192558651311039733353,1074,Jelly,06-08-2022,16,NULL
99,BG13JEIC509423NAXUKOLW,FR219161520100MAECISS28QI76,675,Bed,31-07-2022,1,NULL
100,NO8650701288944,SM83P90892886318JNTNUYDHWF0,574,France,20-07-2022,17,NULL
101,NO8650701288944,SM78N7809963212KRCYTRDYPGBA,682,Tomato,10-07-2022,17,NULL
102,NO8650701288944,LV70QKFNXIINGQFGQWTS8,1785,Notebook,22-06-2022,10,NULL
103,ME06010270545643065544,PT76725017952203419820774,243,House,06-12-2022,7,NULL
104,ME06010270545643065544,FR1177144071868EIO0XBPAQH30,2958,Pizza,23-09-2022,11,NULL
105,MK885706QX8UYFKTF20,SI74825760997584571,1448,Afternoon,04-08-2022,7,NULL
106,MK885706QX8UYFKTF20,AL33908744009C521XY5QXTPUATG,598,Match,15-11-2022,16,NULL
107,MK885706QX8UYFKTF20,SI14540525320707650,688,Toothbrush,26-07-2022,13,NULL
108,NO2855437598422,FR828083090168ET6ILTDQURN59,724,Needle,17-12-2022,4,NULL
109,NO2855437598422,SI16655849116473450,238,Truck,28-12-2022,13,NULL
110,NO2855437598422,TN5478612701002964205356,355,Planet,07-02-2022,11,NULL
111,LI2033561S5WMFJ5ZBQZX,SK9128096539431151563108,1845,Jelly,08-06-2022,19,NULL
112,FR664530848066PZS7RTSBPDX82,FR023968166162QFMI9LTRFYP13,731,Insect,09-09-2021,8,NULL
113,FR664530848066PZS7RTSBPDX82,PL02388355872187260826304548,803,Hair,09-09-2021,4,NULL
114,FR664530848066PZS7RTSBPDX82,LI9371923OXAYHIGPTSWF,789,Afternoon,18-09-2021,15,NULL
115,RO38TDIXDHGRSSBIIEBSAHNZ,BH54PCIVYK9ZY4NPXRS8O3,1833,Pencil,24-05-2022,10,NULL
116,RO38TDIXDHGRSSBIIEBSAHNZ,AZ82SJGCNRR6QR1HB8PBWOX5UT7D,337,Kangaroo,26-05-2022,17,NULL
117,RO38TDIXDHGRSSBIIEBSAHNZ,LI2033561S5WMFJ5ZBQZX,1978,Portugal,17-10-2022,7,NULL
118,FR666537258783X8OMC04VFTC42,FR569310056713SC8KZOLNQYJ12,791,Greece,10-01-2022,11,NULL
119,FR666537258783X8OMC04VFTC42,ES3876567973341776820457,824,Breakfast,29-08-2022,3,NULL
120,FR666537258783X8OMC04VFTC42,FR2505908882660FTQILUB4R861,436,House,30-03-2022,9,NULL
121,KW60GHNXNSHUOVNJSBVP2SQ00JCM0P,CR6208159620834962189,1952,Belgium,21-05-2022,7,NULL
122,KW60GHNXNSHUOVNJSBVP2SQ00JCM0P,FR553701618541DD6XFVKOG0J19,1794,Diamond,26-06-2022,17,NULL
123,HR2750206937399363641,FR980228933378SS3VLX9UACU28,266,Sandwich,30-12-2021,5,NULL
124,HR2750206937399363641,FR5013365821287GQMMDD6OLU83,336,Shampoo,31-12-2021,7,NULL
125,LI6447144YSY4Z7BZZZRK,BR1205660151330024495652954UY,654,,12-12-2022,14,NULL
126,FR9782327987451AYUC37U0EF51,AZ73BFASXO7TAC1SDXQLYB2RTNGJ,1035,Evening,15-07-2022,19,NULL
127,FR9782327987451AYUC37U0EF51,LB64197862DLT0DLQ7H8HKJHW7CI,1951,Microphone,27-07-2022,11,NULL
128,FR9782327987451AYUC37U0EF51,HR2750206937399363641,455,Forest,07-10-2022,3,NULL
129,LU51482S5LB0GJSVOYPP,IE72QVSZ87136645799851,771,Hamburger,13-02-2022,2,NULL
130,SI74825760997584571,LI4086518PKMEK1TNNUIG,1565,Morning,18-11-2022,4,NULL
131,SI74825760997584571,BH72VEUO4WGT154P1GOGKD,507,Jelly,27-08-2022,5,NULL
132,SI74825760997584571,PK16JVLT9WUDT2GTNRJXDCWX,1264,Glass,04-09-2021,10,NULL
133,MC574513984017FXNQQKOYBLQ33,SI14540525320707650,604,Bed,17-05-2022,3,NULL
134,MC574513984017FXNQQKOYBLQ33,SM21J8226711495E7QWVSFSIA8R,1595,Orange,08-10-2022,14,NULL
135,BA038977631439091374,PS08YUQBD0QXSCE7LOYO3WEIIFHOA,414,Telephone,07-11-2022,1,NULL
136,PL11799872834331665811266572,GB40XYTB95618940277915,1571,Notebook,26-02-2022,7,NULL
137,PL11799872834331665811266572,IT12D7367339631MYHBUZNQDQFH,422,Energy,19-04-2022,2,NULL
138,CH584827884PGVRUBCRFO,FR052117707973ENFZR7TSHFB68,482,Rocket,28-02-2022,12,NULL
139,CH584827884PGVRUBCRFO,FR852149528972WKYPXKZBV9783,351,Train,25-02-2022,11,NULL
140,SI16655849116473450,FR5894022872945ACYX887VOH23,2474,Furniture,31-07-2022,9,NULL
141,SI16655849116473450,BG13JEIC509423NAXUKOLW,352,Telephone,25-03-2022,14,NULL
142,SI16655849116473450,AT226036253155779986,949,Balloon,31-08-2022,15,NULL
143,FR415369337789HNEDLEYCLTX34,CR5054394223774342612,905,Breakfast,27-05-2022,7,NULL
144,FR415369337789HNEDLEYCLTX34,FI2219198455116224,932,Shampoo,15-06-2022,9,NULL
145,FR415369337789HNEDLEYCLTX34,RS23635468475653514503,1100,Soccer,03-06-2022,2,NULL
146,FR262813619748PNCVTCELAXG12,FI2219198455116224,230,Gas,23-01-2022,14,NULL
147,FR262813619748PNCVTCELAXG12,FR614281571412VPU8P4TMHZR26,209,Spoon,05-07-2022,9,NULL
148,PT32784241761371374262171,FR695430719047MSWFWEIHCAO18,1406,,20-06-2022,8,NULL
149,PT32784241761371374262171,FR3481428835649QEVERDZJYP38,4928,Match,14-04-2022,6,NULL
150,PT32784241761371374262171,SA7921PAVZLGBPQUVNDYCZNY,1773,Island,17-09-2022,5,NULL
151,ME97661623675960265882,SE2575710596688421800564,1406,Wire,12-12-2021,4,NULL
152,ME97661623675960265882,PT79958979704247087374884,782,Forest,19-11-2022,1,NULL
153,FR555370117262M8MHCS4TW0778,PK52YQMIKKNXKJTPECSBKECZ,1248,Easter,23-11-2022,19,NULL
154,TN5478612701002964205356,SM78N7809963212KRCYTRDYPGBA,1865,Xylophone,30-04-2022,9,NULL
155,KW82KSFYM4YY93ESZGLAMCNATMMBIG,PT54876113908975191283835,527,Dream,26-07-2022,6,NULL
156,KW82KSFYM4YY93ESZGLAMCNATMMBIG,PL11799872834331665811266572,4560,Spoon,13-02-2022,9,NULL
157,PL89877171017396818184443026,CH40257354COC2G42ATEJ,1834,Lion,18-07-2022,19,NULL
158,PL89877171017396818184443026,IL954780099934615738624,1044,Yacht,09-08-2022,10,NULL
159,PL89877171017396818184443026,CY8714298070SW8FV1GLHBWSTKYO,517,Vase,15-02-2022,19,NULL
160,GR560395974CG6TT9ZR8OFADHFE,SI97275105530910376,291,Sugar,18-09-2021,4,NULL
161,GR560395974CG6TT9ZR8OFADHFE,RO30KCWCK6YFATZUPK1JDJSU,1443,Egg,24-10-2021,3,NULL
162,GL4455269002179975,BE78314242337572,755,Kitchen,04-12-2022,11,NULL
163,GL4455269002179975,IL930759747392977098228,801,Manchester,16-12-2022,2,NULL
164,GL4455269002179975,PK06PYDX9IKDYX2W6BCBMLX1,1035,Spoon,18-06-2022,19,NULL
165,SM04O2872816220NX2CRTU1F91Z,BH68VDGEO3AQYIO5773CF6,570,Fountain,29-07-2022,15,NULL
166,SM04O2872816220NX2CRTU1F91Z,GB76IQCB97160799774998,497,Potato,27-03-2022,2,NULL
167,SM04O2872816220NX2CRTU1F91Z,ME29934419048456282390,1904,Magazine,20-06-2022,16,NULL
168,FR2505908882660FTQILUB4R861,MU79EOTT8963977338902634213BSU,394,Dinner,22-04-2022,9,NULL
169,FR2505908882660FTQILUB4R861,FR569310056713SC8KZOLNQYJ12,1469,Branch,27-05-2022,6,NULL
170,CY8714298070SW8FV1GLHBWSTKYO,FR866323816569TBEYXL0UTTS96,685,Evening,20-12-2022,16,NULL
171,FR433271943275Q7IKGEEUQOE62,DE26201314004591017445,931,Pizza,23-07-2022,19,NULL
172,KZ57817DZXUEGJAWDPRF,DE77222806807739559532,883,Jordan,23-01-2022,2,NULL
173,KZ57817DZXUEGJAWDPRF,BH80CEBOTKLJM2BUKX42VF,1952,River,03-01-2022,4,NULL
174,KZ57817DZXUEGJAWDPRF,FR553701618541DD6XFVKOG0J19,2121,Truck,24-11-2021,12,NULL
175,NL78SXNX5876067470,AT312563855247280428,1293,Lock,26-07-2022,17,NULL
176,NL78SXNX5876067470,FR936121328389LQQGOASLWT796,860,Quill,10-01-2023,9,NULL
177,NL78SXNX5876067470,FO0906938323937245,394,Evening,17-07-2022,19,NULL
178,NL78SXNX5876067470,SA3362YUBLXWH0QPSXXHHUFK,880,Teacher,13-11-2022,19,NULL
179,PT76725017952203419820774,ES3876567973341776820457,1493,Lizard,17-12-2022,10,NULL
180,PT76725017952203419820774,AE791992291992682614433,244,Lunch,26-06-2022,4,NULL
181,SA4941E7VC2BUJG8DVLMIUB9,CH40257354COC2G42ATEJ,992,Beard,05-05-2022,7,NULL
182,SA4941E7VC2BUJG8DVLMIUB9,FR618914331395Y2P7V6AEBDG70,647,Kitchen,05-07-2022,4,NULL
183,SA4941E7VC2BUJG8DVLMIUB9,BR7237078533304381976578605ED,367,Kite,04-05-2021,5,NULL
184,MK88922HU8SSC0WM810,NO8650701288944,7259,Telephone,06-03-2022,3,NULL
185,MK88922HU8SSC0WM810,SA3042VLBFLEND4YGUQOFAGX,347,Easter,17-11-2021,7,NULL
186,MK88922HU8SSC0WM810,VG31PSVD3306916511040551,852,Hair,23-02-2022,1,NULL
187,MK88922HU8SSC0WM810,LT515349342197999350,525,Hair,03-08-2022,14,NULL
188,CH1618474PWEBI8QAGREI,PL89877171017396818184443026,3806,Energy,27-05-2022,1,NULL
189,CH1618474PWEBI8QAGREI,KW82KSFYM4YY93ESZGLAMCNATMMBIG,10213,Helmet,30-04-2022,5,NULL
190,HU87667080640745192379770387,KZ64703VA9TXWV1O4CUM,444,Car,17-09-2021,16,NULL
191,SE0410756440958840317925,IS854519170803540031159058,2394,Helmet,03-11-2021,7,NULL
192,SE0410756440958840317925,SK9128096539431151563108,1062,Planet,16-10-2021,15,NULL
193,SE0410756440958840317925,FR273037025062NQTUZGL8HIC68,586,Nail,16-10-2021,2,NULL
194,RO18EUJTUIXL9GMIVTAD47EI,BA975439577438062611,913,Teacher,24-12-2022,2,NULL
195,RO18EUJTUIXL9GMIVTAD47EI,FR972388823743M5JPHUZ8VN953,1283,Oil,16-05-2022,5,NULL
196,FR1549583566069TR1N2XWOYX34,PT29499781625205195427425,1700,Rose,13-08-2022,14,NULL
197,FR1549583566069TR1N2XWOYX34,BH58MVVMELSVPCFDSZUQT8,400,Tomato,18-09-2022,15,NULL
198,FR3481428835649QEVERDZJYP38,PS81ZQCHDLD7M5SDZUWZNKSYSTCMO,300,Planet,04-08-2021,15,NULL
199,FR3481428835649QEVERDZJYP38,PK96UAFUYAA6NVVXOQDYXM6R,1916,Match,04-05-2022,18,NULL
200,FR3481428835649QEVERDZJYP38,AD9413090105NCMC3VM1EDKD,1718,Rose,19-07-2022,9,NULL
201,FR3481428835649QEVERDZJYP38,FR5041164036327DMV1CRBHOK58,270,Oyster,14-02-2022,11,NULL
202,DK6058517087729622,ME70575675621862483580,456,Cartoon,10-06-2021,15,NULL
203,LI9457531A6YJLWIJKNSQ,SA6793YOGHIU7ALTAZLFWAKU,933,Wall,24-09-2021,1,NULL
204,NL76JNXX1868440926,ME70575675621862483580,1098,Dream,03-12-2021,19,NULL
205,GI83NEWZEVPW4UU7XMWZ0HZ,DK2114195689978254,1152,Jewellery,08-01-2023,6,NULL
206,GI83NEWZEVPW4UU7XMWZ0HZ,FR023968166162QFMI9LTRFYP13,1349,Toothbrush,29-03-2022,2,NULL
207,MD45BCMPTO0A8JEWCMIMULCR,IL864925811367077730271,588,Balloon,03-09-2022,9,NULL
208,MD45BCMPTO0A8JEWCMIMULCR,TR0759790QLUOZUYZBIF6LUMC0,10690,,30-01-2022,11,NULL
209,MD45BCMPTO0A8JEWCMIMULCR,NO2855437598422,388,Gold,17-08-2022,19,NULL
210,IE51AAOQ21828404077999,MT81YCZR60394SJQRWKMUNVEAIDXKPA,2351,Painting,03-05-2021,18,NULL
211,IE51AAOQ21828404077999,IL563665854804309369837,605,Plastic,16-07-2022,17,NULL
212,IE51AAOQ21828404077999,LU70851H7LSUB3GSRLFG,522,Lighter,28-09-2021,18,NULL
213,AL5959600739QLBVKSV5UR8L5MCU,IS928892874631938551679674,279,Lock,26-02-2022,18,NULL
214,AL5959600739QLBVKSV5UR8L5MCU,FR266343225064PCVUZ6NADSB73,375,Bed,16-03-2022,16,NULL
215,TR0759790QLUOZUYZBIF6LUMC0,DE77222806807739559532,212,Portugal,13-02-2022,3,NULL
216,TR0759790QLUOZUYZBIF6LUMC0,PK96UAFUYAA6NVVXOQDYXM6R,595,Girl,05-06-2022,17,NULL
217,TR0759790QLUOZUYZBIF6LUMC0,FR936121328389LQQGOASLWT796,1024,Garden,10-06-2022,8,NULL
218,IE42UTTQ67174907923500,ME97661623675960265882,633,Match,26-07-2021,5,NULL
219,IE42UTTQ67174907923500,FR269578997927ZXUFJFD0UIZ87,16431,China,10-11-2021,12,NULL
220,IE42UTTQ67174907923500,CH40257354COC2G42ATEJ,1815,Rain,18-12-2021,18,NULL
221,IE42UTTQ67174907923500,SA95663L8AYYQFUGNYDUDYGY,1725,Telephone,10-09-2021,16,NULL
222,LB112232GXFEIRUSUKN8WRUCRGQM,SE2575710596688421800564,2618,Ice,08-03-2022,19,NULL
223,LB112232GXFEIRUSUKN8WRUCRGQM,IS720835397310571562917668,1503,Lighter,23-09-2021,16,NULL
224,LB112232GXFEIRUSUKN8WRUCRGQM,LI9371923OXAYHIGPTSWF,1870,Wire,24-02-2022,8,NULL
225,LB112232GXFEIRUSUKN8WRUCRGQM,PT54876113908975191283835,562,Egypt,20-12-2021,14,NULL
226,LB64197862DLT0DLQ7H8HKJHW7CI,PS08YUQBD0QXSCE7LOYO3WEIIFHOA,4934,Horse,06-07-2022,10,NULL
227,LB64197862DLT0DLQ7H8HKJHW7CI,FR262813619748PNCVTCELAXG12,2600,Window,20-06-2022,2,NULL
228,PS08YUQBD0QXSCE7LOYO3WEIIFHOA,HU68784313704422979806045343,347,Fountain,26-10-2022,5,NULL
229,PS08YUQBD0QXSCE7LOYO3WEIIFHOA,MK76101XO6RF8MT6N44,1601,Lawyer,20-09-2022,12,NULL
230,PS08YUQBD0QXSCE7LOYO3WEIIFHOA,DO65YOCL31275685388452922839,1126,Wire,28-09-2022,7,NULL
231,BG96DUOA015893RAOVD5AK,BH89XBHG5UNJQVF7DMBYNQ,448,Television,16-01-2022,10,NULL
232,EE386688945979336861,RO30KCWCK6YFATZUPK1JDJSU,676,,24-08-2021,8,NULL
233,EE386688945979336861,GI83NEWZEVPW4UU7XMWZ0HZ,705,Car,13-04-2022,17,NULL
234,EE386688945979336861,SM83P90892886318JNTNUYDHWF0,827,Breakfast,17-02-2022,9,NULL
235,EE386688945979336861,BG13JEIC509423NAXUKOLW,1737,Vegetable,18-11-2022,4,NULL
236,GT83QMU2BFPVMOYQBSZ9SLMMIWW3,NL78SXNX5876067470,2781,Sandwich,04-01-2023,9,NULL
237,GT83QMU2BFPVMOYQBSZ9SLMMIWW3,SA95663L8AYYQFUGNYDUDYGY,1316,Restaurant,27-11-2021,2,NULL
238,GT83QMU2BFPVMOYQBSZ9SLMMIWW3,LI4086518PKMEK1TNNUIG,293,Piano,03-05-2022,10,NULL
239,GT83QMU2BFPVMOYQBSZ9SLMMIWW3,MT96UJMO84351ISUKDQAC1BVUSET7YZ,1318,Nail,11-04-2022,9,NULL
240,FR5041164036327DMV1CRBHOK58,SA82871FSUT7YMRSB9HYZFRQ,661,London,25-04-2022,2,NULL
241,FR836087418377IWU8PVEGDVU13,GL4455269002179975,503,Beach,14-09-2021,18,NULL
242,BH54PCIVYK9ZY4NPXRS8O3,FR241647887802ACKVGEEEQZM87,1517,Toothbrush,20-06-2022,5,NULL
243,BH54PCIVYK9ZY4NPXRS8O3,ME30014423925934878853,768,Notebook,14-06-2022,12,NULL
244,GR665961948ADBSX9QJRLACNGCS,FR614281571412VPU8P4TMHZR26,1598,Pizza,03-11-2022,19,NULL
245,GR665961948ADBSX9QJRLACNGCS,LB941675UDL4DF8O5J2L71XJLEFK,1469,Garden,21-12-2022,3,NULL
246,GR665961948ADBSX9QJRLACNGCS,BH28EQZSLZB0CFICEYOZHW,1374,Jackal,05-10-2021,6,NULL
247,BA930876333848218316,DE88503433710437310817,512,Rocket,18-07-2021,3,NULL
248,BA930876333848218316,AT656820572156158682,1807,Monkey,19-10-2022,12,NULL
249,BA930876333848218316,KW22OLNPISJDMT4SNHFR0DSPN5ANKQ,202,Library,04-08-2022,14,NULL
250,BA930876333848218316,GB72MTCS12171466615466,435,Ambulance,19-01-2022,19,NULL
251,AL0870006466BDDYHJJGOUMQB7A6,IL786557961952878739199,987,Umbrella,27-04-2022,17,NULL
