ClientID,MainAccount,AllowPhoneTransfer
48,FR219161520100MAECISS28QI76,1
49,CY5122402135SHM0H4LXR6ZNAKUI,1
50,NO3810971199876,1
51,BA357519451022380509,1
52,IS382593398702306795342245,1
53,GL5292163970877711,1
54,GR398289153L5EKN5JL8GVUGQ9D,1
55,SI14540525320707650,1
56,MC6987967239550Y6YTK3DFDR46,1
57,FO0906938323937245,1
58,FR751050359750HIL61L4WWDW46,1
59,VG89QUSK2292288194972313,1
60,AE026516987963616220448,1
61,SA0398IONLYXHRXETCMO79LF,1
62,AD9785172221O1G3LAZ3EHAY,1
63,PT38792162855990965442035,1
64,ME06010270545643065544,1
65,GI54HZVAM8GR8MCMGTSWGBZ,1
66,IT34C9603323414J45DHDKDJWKR,1
67,FR555370117262M8MHCS4TW0778,1
68,FR2505908882660FTQILUB4R861,1
69,FR810223691008QULMITLMCNA94,1
70,AD37752457315JEOWZHKWHR5,1
71,BR7195294632956775727961536JC,1
72,FR779025742147TXKVHZXACIA16,1
73,LB8105855AACQFUNW05CJEKUJDZ3,1
74,PL89877171017396818184443026,0
75,FR628571710722LKS3T5PVPGD39,1
76,FR127735715836AOBUVJ5PB3T74,1
77,FR511954895025OT1WES9P2CN55,1
78,KZ57817DZXUEGJAWDPRF,1
79,PL11799872834331665811266572,1
80,FR150163431747IPQWZBYQ0JT71,1
81,EE729200220631494470,1
82,IE34UVJR55606541269830,1
83,FR496789911046B56UPNS2NUO38,1
84,TN7631925302662205117031,0
85,DE14729572230611752366,1
86,AT948201602244201920,1
87,MT96UJMO84351ISUKDQAC1BVUSET7YZ,0
88,BA882417077595957626,1
89,KZ08583RLSRYBXSZMLZ4,0
90,BR2929455851021549166520928M0,1
91,LI9371923OXAYHIGPTSWF,1
92,PL02388355872187260826304548,0
93,BA679608648659368471,1
94,IE16ZFCL84923416394353,0
95,CY95098509140KUMVLON9VLJIQD8,1
96,BA975439577438062611,1
97,FR983169209297V32VM1A3CHQ98,1
98,LT686535476410631841,1
99,KW34WPWJBK15F3I0MTKUOEIJI89LLT,1
100,MC520718747446GXXTTGVQEYQ66,1
101,LB416959NADVUWTZNP5GDIUMGEQW,1
102,PS02JZSFMNUORGS30HF7NQVLWYEHP,1
103,GE32UD5891851791570344,0
104,MK607269Y52K7L4HG42,1
105,CR3065496959919091837,1
106,IL930759747392977098228,1
107,CH584827884PGVRUBCRFO,1
108,NL78SXNX5876067470,1
109,ME83114271805113846427,1
110,GE69FX0692149151874654,1
111,RS34859514741464869106,0
112,FO8854289517375138,1
113,LV72XXYBH0G42VAO1QZAS,1
114,KZ10256D1AOHFFYCKKWY,1
115,ME97744693923170944919,1
116,FR637609456526U9RDEVHO5CB69,0
117,BE14907370971408,1
118,RS07995642164641974149,1
119,LT763416564890114811,1
120,VG32SLQI5846698388141729,1
121,BG60XTTX845800OI22AMHG,1
122,BH97ABMEE8WLEVCLROPPPE,0
123,BA179198823954910135,1
124,CZ5210883152214530108088,1
125,FI1318368643667889,0
126,GE36QZ1105418004106559,1
127,FR614281571412VPU8P4TMHZR26,1
128,AD1134412734T2QDTJMM081V,1
129,KW22OLNPISJDMT4SNHFR0DSPN5ANKQ,1
130,FR236631003080GIYTWDCWVFH78,1
131,SE0410756440958840317925,1
132,GR665961948ADBSX9QJRLACNGCS,1
133,AD3436784333NJ8STCMDIPRF,1
134,GB14KMYW75425734624132,1
135,BA850801019776909465,1
136,GI32WGDYBUIY0AXIYYCZSKB,0
137,SI90561448213410524,1
138,SA3042VLBFLEND4YGUQOFAGX,0
139,BA512001720705295339,1
140,FR974529462512LUCDIARL6AO88,1
141,BE14175804407331,1
142,LB376799YJ0KWYEN27BGI1TLO8OG,1
143,CZ9299164119097306537977,1
144,SM79Q3694121719TOU8ASQA0WSB,0
145,SA7998ZNLYOTTLXTUTRYXRR7,1
146,BA483038538134266118,1
147,FR980228933378SS3VLX9UACU28,1
148,SA4646KYP5ZKAI7FGIGWCGRE,1
149,AT097097916269638888,1
150,CH5830617C9JZM1FO3XXV,0
151,DE30294485557747039339,0
152,FR9782327987451AYUC37U0EF51,1
153,ES1439225274313147027314,1
154,GR610161458JIHV88MPLUUKPWJ5,0
155,ES7436022026340888793217,1
156,LI58879337NZBXYBP7QSD,0
157,FR768052907885WGR8C1JBYOU54,1
158,VG20YHLX4706942694765499,0
159,SK3119369742443979520178,0
160,KZ71672CLLTLQIBMHOV6,1
161,GI72LFDMTUYNZRWDD3Z20IA,1
162,MT29TBTL85012OVGSQ22YFNLREHDKPT,1
163,AD5283668040NMPAVVGZPME0,1
164,GB48ENOZ97260071015756,1
165,FR569310056713SC8KZOLNQYJ12,0
166,FR936121328389LQQGOASLWT796,0
167,DK8502965234309736,1
168,FR743257237735L8OOR77G0WQ55,1
169,SA7693YUA3ATZ909OTZPD3GJ,1
170,PK17ZBMNDCX5JMUZNPY9YGEB,0
171,VG39XRWZ3431175664003491,1
172,FR348161953409IHDIEAYL9TW33,1
173,FR574667668885IG3USPOFI9N57,1
174,MT62KCQY05462BR5EJDWZRGMWLVVK9X,1
175,FR241647887802ACKVGEEEQZM87,1
176,HR8118346488694153823,1
177,FR098329423950TGRCMAVUTF427,1
178,FR883818058529HDRHNLK7C3U16,1
179,RS24290913511207560191,1
180,MC096276837603NNUE4RZ6EIF27,1
181,IT07Z0171283852TXZHIP26OFEA,1
182,GL4455269002179975,0
183,MD64M7PQNC3T7HEB4VKNRLO4,1
184,FR746574562519JBFAYYCZ5KX70,1
185,CH6301816LZ2LSEXFP38U,1
186,FR521761738278VD4WOODAQLA67,0
187,FR295986129113WWNRMI1WXL403,1
188,BG96DUOA015893RAOVD5AK,0
189,MC574513984017FXNQQKOYBLQ33,1
190,FR852149528972WKYPXKZBV9783,1
191,MK134411YFEKBZBWL07,1
192,FR869764703054EQVWPSQMCKT82,1
193,PL06038388905996804292495021,1
194,PT32784241761371374262171,0
195,AD18895793152RGQICRDHHLA,1
196,CY7768546873YBRXVGTRPVXWPMTJ,1
197,AT081187867286884882,0
198,TR7857618UXWCWBI4V4IUMMBD5,1
199,GE97WM3367278084164498,1
200,MU14CAVN7475593967288599408NWO,1
201,FR8531903426929BVM9A1DXCW93,0
202,DE65319005245162325540,0
203,FR12486929649223CWSFBCJ0B68,1
204,IL551743412878301384189,1
205,GE96AP6564653098418752,1
206,GR107134113WBJWTUXAFSY6XOHX,1
207,BH72VEUO4WGT154P1GOGKD,0
208,SA9663D7E8LLDHYXI6OHQOUS,1
209,CH6793171T2FIYUY16UEY,1
210,IL757842282767511621870,1
211,MD31VHMTCPG2DQM1KE9JAERG,1
212,RS64141932494067128622,1
213,FO3724561082301483,1
214,KW29KRWJRFTRM2M38QEA6ZKMYQ4O5M,1
215,FR15921905878801VYHXF2NSM34,1
216,FR823591936920GRRQXKU19RZ41,1
217,DK3810320169074877,1
218,MK77225MUISLQOHVC16,0
219,AL6137775348K7KWVDR1GEZJGTXR,1
220,IE04FYGG83660815023392,1
221,AT368572355763145528,1
222,SK0695981842219577262047,0
223,KW56SHWF2GDVBWEJ6UZDE9JDRYOJUW,1
224,CY9873342199LFMKFAYXM2EDQHLW,1
225,PS20BQQJWXOO40FPWXPMC2NBR6PLW,1
226,MC9594613242296EWSW5VSIVF05,1
227,SA7921PAVZLGBPQUVNDYCZNY,1
228,IL618905946189098449185,1
229,SK5333757328618280252817,1
230,AE208442104089089423018,1
231,NL34PXTR1965468531,1
232,KZ64703VA9TXWV1O4CUM,1
233,PT51900520705500034768016,0
234,FR9236728895752YBZZQ60JCF08,1
235,VG47DHRW7922423687861885,1
236,LI4175221HCFHUBFKEUKN,1
237,BH28EQZSLZB0CFICEYOZHW,1
238,FR642961958942ZCDWXR9BKRR66,0
239,CY2898197073U3PPADHI2VW9HGH4,1
240,FR263097337494WTJNN9YCWBB79,1
241,FR503493484244SEQBEBKZCBF36,0
242,FR210208793529RMLWKCAJ1KP98,0
243,HR2684646346109894181,1
244,FR545626506435USBYMLJZW4T92,1
245,KZ52292EUMAJ47OMWQJA,1
246,NL70HUHH4316943434,1
247,NL31YGPH2692175770,1
248,MD352HZKLXD7BFBSGKEAUTNZ,1
249,PL66688800934580256377748627,1
250,RO14AXGDYLMTE72NNVIFYEIO,1
